type	public_code	ur_code_legacy	XML_root_legacy	XML_element_legacy	description_LV	description_EN
change_reason	LATVIAN_IN_UPDATED	P	LegalEntityExtenedStructure	ChangeReason	Aktualizçts personas kods, pamatojoties uz Iedzîvotâju reìistra datiem	Latvian identity number updated according to data from the Latvian Population Register
decisive_influence	GROUP_OF_COMPANIES_CONTRACT	K	LegalEntityExtenedStructure	InfluenceForm	Koncernu lîgums	Group of Companies Contract
decisive_influence	PARTICIPATION	L	LegalEntityExtenedStructure	InfluenceForm	Lîdzdalîba	Participation
decisive_influence_details	CONTROL	V	LegalEntityExtenedStructure	BaseGroupForm	Pârvaldes lîgums	Control Agreement
decisive_influence_details	CONTROL_AND_PROFIT_TRANSFER	A	LegalEntityExtenedStructure	BaseGroupForm	Pârvaldes un peïòas nodoðanas lîgums	Control and Profit Transfer Agreement 
decisive_influence_details	HAS_EXERCISED_RIGHTS	G	LegalEntityExtenedStructure	BaseGroupForm	uzòçmums ir sabiedrîbas dalîbnieks un, izmantojot vienîgi savas dalîbnieka tiesîbas, pârskata gada laikâ ir iecçlis sabiedrîbas izpildinstitûcijas vai pârraudzîbas institûcijas locekïu vairâkumu	Undertaking is a shareholder of the company and has only exercised its shareholder’s rights to elect the majority of members of the company’s executive body or supervisory body during the accounting year
decisive_influence_details	HAS_MAJORITY	B	LegalEntityExtenedStructure	BaseGroupForm	uzòçmumam sabiedrîbâ ir balsstiesîbu vairâkums	Undertaking has the majority of votes in the company
decisive_influence_details	HAS_RIGHTS	P	LegalEntityExtenedStructure	BaseGroupForm	uzòçmumam kâ sabiedrîbas dalîbniekam ir tiesîbas iecelt vai atcelt sabiedrîbas izpildinstitûcijas vai pârraudzîbas institûcijas locekïu vairâkumu	Undertaking as a shareholder of the company has the right to elect or dismiss the majority of members of the company’s executive body or supervisory body
decisive_influence_details	HAS_SOLE_CONTROL	K	LegalEntityExtenedStructure	BaseGroupForm	uzòçmums ir sabiedrîbas dalîbnieks un, pamatojoties uz vienoðanos ar citiem dalîbniekiem, viens pats kontrolç balsstiesîbu vairâkumu sabiedrîbâ	Undertaking is a shareholder of the company and has sole control over the majority of voting rights in the company based on the agreement with other shareholders
decisive_influence_details	PROFIT_TRANSFER	P	LegalEntityExtenedStructure	BaseGroupForm	Peïòas nodoðanas lîgums	Profit Transfer Agreement
governing_body	ADMINISTRATION	ADM	LegalEntityExtenedStructure	Institution	Administrâcija	Administration
governing_body	AUDIT_COMMITTEE	RVZ	LegalEntityExtenedStructure	Institution	Revîzijas komisija	Audit Committee
